,Model,Accurency_train,Accurency_val,AUC_train,AUC_val
0,LogisticRegression,0.8054260279779568,0.8150537634408602,0.72,0.74
1, SVC,0.7369648155998304,0.7254480286738352,0.5,0.5
2,KNeighborsClassifier,0.8298007630351844,0.7734767025089606,0.74,0.68
3,GaussianNB,0.6901229334463755,0.7039426523297491,0.74,0.76
4,DecisionTreeClassifier,0.9985163204747775,0.7448028673835125,1.0,0.68
5,RandomForestClassifier,0.9783806697753286,0.7799283154121864,0.96,0.68
6,ExtraTreesClassifier,0.9985163204747775,0.771326164874552,1.0,0.67
7,AdaBoostClassifier,0.8107248834251801,0.8129032258064516,0.72,0.73
8,GradientBoostingClassifier,0.8132683340398474,0.8193548387096774,0.72,0.74
9,RidgeClassifier,0.801398897838067,0.8121863799283154,0.7,0.73
